Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Details,Event Type,Location,Dining Option,Customer ID,Customer Name,Customer Reference ID
02/09/18,18:00:27,Eastern Time (US & Canada),Chocolate & Candy,Maynards,1.0,Regular,"","",$1.50,$0.00,$1.50,$0.00,pbEwEsW52gFTUmuhPGhdoQqeV,JtV8IHWN8y1N5FPWQE8MLQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/pbEwEsW52gFTUmuhPGhdoQqeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,18:00:27,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,pbEwEsW52gFTUmuhPGhdoQqeV,JtV8IHWN8y1N5FPWQE8MLQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/pbEwEsW52gFTUmuhPGhdoQqeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,17:57:42,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,2.0,Vanilla,"","",$1.00,$0.00,$1.00,$0.00,TCxYDQpiUOKgpHYfgXCkGIjeV,z3vBJ2YcoG0X7K64w2qkMzMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/TCxYDQpiUOKgpHYfgXCkGIjeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,17:42:11,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,zWRZKzzcPwZQjQnONjiNI5heV,7KNdFi0o2Wrwo3O0IHthLQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/zWRZKzzcPwZQjQnONjiNI5heV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,17:22:51,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,RX6dsvi0h6oYmTT9PxTSQKpeV,rWBYYCyzHSDqIMexkhj2KQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/RX6dsvi0h6oYmTT9PxTSQKpeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,17:09:55,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,rufn5JIKZZ9UTlVNdu20HrheV,ZrEes91KwsAlmuZCF3zAKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/rufn5JIKZZ9UTlVNdu20HrheV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,16:37:11,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,4.0,Vanilla,"","",$2.00,$0.00,$2.00,$0.00,Rb8HXA5gxBoWF0qWF3NNSRzeV,oYEe3qKzSqoXBwhuJmTHpsMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/Rb8HXA5gxBoWF0qWF3NNSRzeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"",ZVJEKE5J4D5VMWESQM75THHHM0,Peiqi Wang,""
02/09/18,16:26:10,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,2.0,Vanilla,"","",$1.00,$0.00,$1.00,$0.00,r6VhixwZYMnUZQPn5LKFuw1eV,xRfFIBA0EsljYbu1wXl5JQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/r6VhixwZYMnUZQPn5LKFuw1eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,16:00:29,Eastern Time (US & Canada),Snacks,Chips,1.0,"","","",$1.00,$0.00,$1.00,$0.00,BBBcWu40LX4UBv53tX74ORveV,0yye6g05GHf6jmcRhQkSQtMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/BBBcWu40LX4UBv53tX74ORveV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,16:00:29,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,BBBcWu40LX4UBv53tX74ORveV,0yye6g05GHf6jmcRhQkSQtMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/BBBcWu40LX4UBv53tX74ORveV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,15:38:19,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,3.0,Vanilla,"","",$1.50,$0.00,$1.50,$0.00,B9HAoDSDMRzDq1EdxnVR1m4eV,bS5HiwhR0Vqx4pTXBuncKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/B9HAoDSDMRzDq1EdxnVR1m4eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,12:33:30,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,4.0,Vanilla,"","",$2.00,$0.00,$2.00,$0.00,7M2vcYDUiXP9Kn9xeJjU7vyeV,30n3l6JQsi0AtUXGhwKZKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/7M2vcYDUiXP9Kn9xeJjU7vyeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/09/18,12:19:37,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,5NvbarqK0Cxu8sY1SN3eSqleV,dVmByp1ayAM8j7is35i1JQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/5NvbarqK0Cxu8sY1SN3eSqleV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/08/18,21:19:40,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,Lar2rIuvHPZ2T9VyGUd4gMieV,Rr2gbkAZsNaEMaDwuRbZLQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/Lar2rIuvHPZ2T9VyGUd4gMieV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/08/18,20:11:21,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,2.0,Vanilla,"","",$1.00,$0.00,$1.00,$0.00,xN1LDYWtXOKyHNKvHSpGxGxeV,TGdHActFEiAJvCQcj7lZKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/xN1LDYWtXOKyHNKvHSpGxGxeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/08/18,20:06:35,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,ZzynUQ196uRzMbhyNf88UsseV,Ffnm1aeBaim4KeArxCB6JQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/ZzynUQ196uRzMbhyNf88UsseV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/08/18,20:03:28,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,2.0,Vanilla,"","",$1.00,$0.00,$1.00,$0.00,1FuqHywww4emr4UH9HcCUG1eV,51lEUUhPZltKg4l0ItV2KQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/1FuqHywww4emr4UH9HcCUG1eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/08/18,20:03:12,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,2.0,Vanilla,"","",$1.00,$0.00,$1.00,$0.00,LAuWfgwgBY8U9ZFQ0tHkTpheV,Q1tosFlLzOu5iOXnf8IAuyMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/LAuWfgwgBY8U9ZFQ0tHkTpheV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"",DV00KSMJPX752VK0R7Y81RZBD0,"",""
02/08/18,17:34:08,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,2.0,Vanilla,"","",$1.00,$0.00,$1.00,$0.00,Fr73qeCeTUKFc7D9dO32XtpeV,rkgUEs6wHrUCfnSZIeYUKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/Fr73qeCeTUKFc7D9dO32XtpeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
02/08/18,16:44:49,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,2.0,Vanilla,"","",$1.00,$0.00,$1.00,$0.00,dZ43z8wqG6CodZUMiEU17uqeV,iGHOYhk33leQHCwflJQK1xMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/dZ43z8wqG6CodZUMiEU17uqeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"",ZVJEKE5J4D5VMWESQM75THHHM0,Peiqi Wang,""
02/08/18,16:44:32,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,3ULtr2JUVvDIBWimB4EtNIleV,BDQnwWoAQuZxr29yzRMdLQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/3ULtr2JUVvDIBWimB4EtNIleV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
