Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Details,Event Type,Location,Dining Option,Customer ID,Customer Name,Customer Reference ID
04/21/18,14:17:39,Eastern Time (US & Canada),Chocolate & Candy,Chocolates,1.0,"","","",$1.50,$0.00,$1.50,$0.00,jSfP0cJryRqARus7seoHcD6eV,b67umuljuCbBPw3vlJrALQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/jSfP0cJryRqARus7seoHcD6eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/21/18,13:50:25,Eastern Time (US & Canada),Chocolate & Candy,Maynards,1.0,Regular,"","",$1.50,$0.00,$1.50,$0.00,bGLjCoRg5SRm6wFVp61lHT9eV,lf7cpM5aA8rxbgBk1U8ULQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/bGLjCoRg5SRm6wFVp61lHT9eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/21/18,13:16:23,Eastern Time (US & Canada),None,Pepperoni sticks,1.0,Single,"","",$1.50,$0.00,$1.50,$0.00,hNv8qieYayOe4nKWfyugIEqeV,xmh4kAMQ2RA572cL874a9sMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/hNv8qieYayOe4nKWfyugIEqeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/21/18,13:12:34,Eastern Time (US & Canada),Drinks,Arizona,1.0,"Regular Price, 500ml","","",$1.25,$0.00,$1.25,$0.00,jswtIlu5HSL1Q8A2wdC7FG1eV,mPdjLuY2bqnisPbMgAO1PxMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/jswtIlu5HSL1Q8A2wdC7FG1eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/21/18,01:12:45,Eastern Time (US & Canada),Chocolate & Candy,Maynards,1.0,Regular,"","",$1.50,$0.00,$1.50,$0.00,ZrIWLhcLBmDBQMXVuIFJ4r4eV,nQr24EKJ2TfU7b7LcrnKKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/ZrIWLhcLBmDBQMXVuIFJ4r4eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,23:17:25,Eastern Time (US & Canada),Snacks,Chips,3.0,"","","",$3.00,$0.00,$3.00,$0.00,RLWIJjOZjmZ228tmzkFeoWoeV,9nhKaoEXS4tLsl3Q6MpUKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/RLWIJjOZjmZ228tmzkFeoWoeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,23:16:59,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,2.0,Vanilla,"","",$1.00,$0.00,$1.00,$0.00,bq7OeN2nP0oZ2McgE1ATvo0eV,3Cy3qRpFC10QMHpSK6cgLQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/bq7OeN2nP0oZ2McgE1ATvo0eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,19:08:25,Eastern Time (US & Canada),Drinks,Arizona,1.0,"Regular Price, 500ml","","",$1.25,$0.00,$1.25,$0.00,pdzJTlf8HzFU5ux2fhKyiyveV,HWEHsaopfzTARfAT6Iuc1zMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/pdzJTlf8HzFU5ux2fhKyiyveV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"",DDJ6B20PND00WS734R6T8YNXG0,Yoonsik Park,""
04/20/18,18:22:36,Eastern Time (US & Canada),Drinks,Arizona,1.0,"Regular Price, 500ml","","",$1.25,$0.00,$1.25,$0.00,JjAGz4aOpm3eaaxt3PQbmBueV,jSTrRKdhFHK2aIZrFXcaLQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/JjAGz4aOpm3eaaxt3PQbmBueV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,18:22:36,Eastern Time (US & Canada),Drinks,Pop,1.0,"Classic, 355ml","","",$1.00,$0.00,$1.00,$0.00,JjAGz4aOpm3eaaxt3PQbmBueV,jSTrRKdhFHK2aIZrFXcaLQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/JjAGz4aOpm3eaaxt3PQbmBueV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,17:35:30,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,rqLoq3mZsEABY8Dm2R0CvazeV,TMYFDPE1o4dZoBIBD2xUKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/rqLoq3mZsEABY8Dm2R0CvazeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,17:10:26,Eastern Time (US & Canada),Drinks,Pop,1.0,"Classic, 355ml","","",$1.00,$0.00,$1.00,$0.00,LyrmmuBBC9wXFkNBh7LMFRieV,CALfWOFgW6PKEL4b2sp4XtMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/LyrmmuBBC9wXFkNBh7LMFRieV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,16:22:34,Eastern Time (US & Canada),Drinks,Pop,1.0,"Classic, 355ml","","",$1.00,$0.00,$1.00,$0.00,dZmy9iBqRVIA5K3AR1NIE5yeV,na4QdfvZbairbBka3993KQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/dZmy9iBqRVIA5K3AR1NIE5yeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,16:20:11,Eastern Time (US & Canada),Drinks,Pop,1.0,"Classic, 355ml","","",$1.00,$0.00,$1.00,$0.00,XGiyskbtOR62jbpX5Z6lV15eV,EASE2qu5pqPpgS5PkHov1sMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/XGiyskbtOR62jbpX5Z6lV15eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,16:20:11,Eastern Time (US & Canada),Drinks,Coco Water,1.0,Regular,"","",$2.00,$0.00,$2.00,$0.00,XGiyskbtOR62jbpX5Z6lV15eV,EASE2qu5pqPpgS5PkHov1sMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/XGiyskbtOR62jbpX5Z6lV15eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,15:56:09,Eastern Time (US & Canada),Snacks,Clif Regular ,1.0,Regular,"","",$2.00,$0.00,$2.00,$0.00,xp9ohJpCoGc6zhkOu9tb6W8eV,Bna9rfhGq8QFh6HeQtzaKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/xp9ohJpCoGc6zhkOu9tb6W8eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,15:46:37,Eastern Time (US & Canada),Chocolate & Candy,Chocolates,1.0,"","","",$1.50,$0.00,$1.50,$0.00,J7wQFpLfQfVh60BLh0fsl09eV,rAMfAT2nVnVxiSbUc5MzKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/J7wQFpLfQfVh60BLh0fsl09eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,15:46:37,Eastern Time (US & Canada),Snacks,Ice Cream Sandwich,1.0,Vanilla,"","",$0.50,$0.00,$0.50,$0.00,J7wQFpLfQfVh60BLh0fsl09eV,rAMfAT2nVnVxiSbUc5MzKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/J7wQFpLfQfVh60BLh0fsl09eV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,15:39:27,Eastern Time (US & Canada),Drinks,Arizona,1.0,"Regular Price, 500ml","","",$1.25,$0.00,$1.25,$0.00,LMON27Llt7ZpUpMMh6rlInjeV,dZ7GvpM9CfKycSNVatT84vMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/LMON27Llt7ZpUpMMh6rlInjeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,15:32:19,Eastern Time (US & Canada),Chocolate & Candy,Chocolates,1.0,"","","",$1.50,$0.00,$1.50,$0.00,1RU2bBSelHzepwIfu99mjrpeV,Nz7CsSz1kkUd2spMkenKKQB,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/1RU2bBSelHzepwIfu99mjrpeV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,15:21:11,Eastern Time (US & Canada),Drinks,Arizona,1.0,"Regular Price, 500ml","","",$1.25,$0.00,$1.25,$0.00,D4sAsECuFK0ljm6Z4GZc4uieV,hbgPwaouOERcg6mOPEZWywMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/D4sAsECuFK0ljm6Z4GZc4uieV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
04/20/18,15:21:11,Eastern Time (US & Canada),Drinks,Pop,1.0,"Classic, 355ml","","",$1.00,$0.00,$1.00,$0.00,D4sAsECuFK0ljm6Z4GZc4uieV,hbgPwaouOERcg6mOPEZWywMF,CSSU's iPad,"",http://squareup.com/dashboard/sales/transactions/D4sAsECuFK0ljm6Z4GZc4uieV/by-unit/4YJMFSNQWK476,Payment,CSSU (charity),"","","",""
